vocab,pos_prob,neg_prob
commented,1.299072462261945e-05,1.3422518511890114e-05
cellular,1.299072462261945e-05,8.948345674593409e-06
secretary,2.59814492452389e-05,8.948345674593409e-06
drove,3.897217386785835e-05,2.684503702378023e-05
rgetr,2.59814492452389e-05,4.4741728372967045e-06
installment,1.299072462261945e-05,8.948345674593409e-06
tamm,1.299072462261945e-05,1.7896691349186818e-05
grrrr,1.299072462261945e-05,8.948345674593409e-06
gaza,7.79443477357167e-05,4.4741728372967045e-06
ringkledsuccess,1.299072462261945e-05,8.948345674593409e-06
niggerperson,1.299072462261945e-05,8.948345674593409e-06
wnt,1.299072462261945e-05,8.948345674593409e-06
richmahogany,1.299072462261945e-05,8.948345674593409e-06
dgaffff,1.299072462261945e-05,8.948345674593409e-06
waoe,1.299072462261945e-05,8.948345674593409e-06
tayknosbest,1.299072462261945e-05,8.948345674593409e-06
mrpditf,1.299072462261945e-05,8.948345674593409e-06
jv,1.299072462261945e-05,8.948345674593409e-06
ksteven,1.299072462261945e-05,8.948345674593409e-06
sinatraa,1.299072462261945e-05,8.948345674593409e-06
skraw,1.299072462261945e-05,8.948345674593409e-06
mphqak,1.299072462261945e-05,8.948345674593409e-06
haiti,1.299072462261945e-05,8.948345674593409e-06
mlrt,1.299072462261945e-05,8.948345674593409e-06
basednafrican,1.299072462261945e-05,8.948345674593409e-06
follower,5.19628984904778e-05,0.0001879152591664616
pmagspkud,1.299072462261945e-05,8.948345674593409e-06
sidibe,1.299072462261945e-05,8.948345674593409e-06
righteous,1.299072462261945e-05,1.7896691349186818e-05
guinness,2.59814492452389e-05,4.4741728372967045e-06
jccwatch,1.299072462261945e-05,8.948345674593409e-06
gladbagflow,1.299072462261945e-05,8.948345674593409e-06
ihatestevensing,2.59814492452389e-05,4.4741728372967045e-06
unanswered,1.299072462261945e-05,8.948345674593409e-06
anthonybialy,1.299072462261945e-05,1.3422518511890114e-05
oppose,2.59814492452389e-05,4.4741728372967045e-06
sle,2.59814492452389e-05,4.4741728372967045e-06
goooood,2.59814492452389e-05,8.948345674593409e-06
billyjoels,2.59814492452389e-05,4.4741728372967045e-06
semaj,1.299072462261945e-05,8.948345674593409e-06
gbr,1.299072462261945e-05,8.948345674593409e-06
eugh,1.299072462261945e-05,8.948345674593409e-06
tqimo,1.299072462261945e-05,8.948345674593409e-06
indication,1.299072462261945e-05,8.948345674593409e-06
justinhall,2.59814492452389e-05,4.4741728372967045e-06
yusa,1.299072462261945e-05,8.948345674593409e-06
quicc,1.299072462261945e-05,1.3422518511890114e-05
vandalize,1.299072462261945e-05,1.3422518511890114e-05
dissing,2.59814492452389e-05,1.7896691349186818e-05
frank,5.19628984904778e-05,1.3422518511890114e-05
klassy,1.299072462261945e-05,8.948345674593409e-06
casillas,1.299072462261945e-05,2.684503702378023e-05
afoundation,1.299072462261945e-05,8.948345674593409e-06
onionsports,2.59814492452389e-05,4.4741728372967045e-06
brandonbeslydin,1.299072462261945e-05,8.948345674593409e-06
atf,1.299072462261945e-05,8.948345674593409e-06
emily,1.299072462261945e-05,1.3422518511890114e-05
maxmayo,5.19628984904778e-05,4.4741728372967045e-06
omari,1.299072462261945e-05,8.948345674593409e-06
asada,2.59814492452389e-05,4.4741728372967045e-06
theater,2.59814492452389e-05,8.948345674593409e-06
hrvjzuxlyw,1.299072462261945e-05,8.948345674593409e-06
zmzvt,2.59814492452389e-05,4.4741728372967045e-06
dislike,1.299072462261945e-05,3.5793382698373636e-05
yungpineapple,1.299072462261945e-05,1.3422518511890114e-05
wminpn,2.59814492452389e-05,4.4741728372967045e-06
mikeydjaro,1.299072462261945e-05,8.948345674593409e-06
nopopularity,1.299072462261945e-05,8.948345674593409e-06
uggo,1.299072462261945e-05,8.948345674593409e-06
bitchezzz,1.299072462261945e-05,8.948345674593409e-06
denise,1.299072462261945e-05,1.3422518511890114e-05
adderallhadme,2.59814492452389e-05,4.4741728372967045e-06
deez,2.59814492452389e-05,6.711259255945057e-05
rachel,5.19628984904778e-05,3.131920986107693e-05
